Date,Replication,Time,Cultivar,Inoculum,Nodules,LogNod,,
,,,,,,,,
options nodate nocenter;,,,,,,,,
data Root;,,,,,,,,
input Date$ Block Time Cul Rhizob$ Nodule LogNod;,,,,,,,,
cards;,,,,,,,,
Date,Replication,Time,Cultivar,Inoculum,Nodules,LogNod,sqrtNod,pot
Sept'16,4,3,3234,WT,14.00,1.176091259,3.741657387,119
Sept'16,5,3,3234,WT,23.00,1.380211242,4.795831523,120
Sept'16,6,3,3234,WT,17.00,1.255272505,4.123105626,121
Sept'16,7,3,3234,WT,10.00,1.041392685,3.16227766,122
Sept'16,1,3,3234,VirF,13.00,1.146128036,3.605551275,123
Sept'16,2,3,3234,VirF,16.00,1.230448921,4,124
Sept'16,3,3,3234,VirF,24.00,1.397940009,4.898979486,125
Sept'16,4,3,3234,VirF,14.00,1.176091259,3.741657387,126
Sept'16,5,3,3234,VirF,25.00,1.414973348,5,127
Sept'16,6,3,3234,VirF,17.00,1.255272505,4.123105626,128
Sept'16,7,3,3234,VirF,15.00,1.204119983,3.872983346,129
Sept'16,8,3,3234,VirF,0.00,0,0,130
Sept'16,1,3,3234,Control,10.00,1.041392685,3.16227766,131
Sept'16,2,3,3234,Control,22.00,1.361727836,4.69041576,132
Sept'16,3,3,3234,Control,4.00,0.698970004,2,133
Sept'16,4,3,3234,Control,6.00,0.84509804,2.449489743,134
Sept'16,5,3,3234,Control,10.00,1.041392685,3.16227766,135
Sept'16,6,3,3234,Control,7.00,0.903089987,2.645751311,136
Sept'16,7,3,3234,Control,24.00,1.397940009,4.898979486,137
Sept'16,8,3,3234,Control,4.00,0.698970004,2,138
